aX,aY,aZ,gX,gY,gZ
-0.313,-0.189,2.201,36.072,100.525,-15.259
-0.281,-0.148,2.361,36.804,143.005,-10.315
-0.271,-0.235,2.398,42.542,196.716,-8.545
-0.296,-0.323,2.316,35.889,260.254,-6.775
-0.288,-0.303,2.179,19.409,328.064,-0.977
-0.299,-0.326,1.955,15.015,392.517,3.113
-0.358,-0.312,1.627,18.738,445.435,5.798
-0.364,-0.229,1.277,24.658,482.971,6.165
-0.325,-0.212,0.903,36.621,506.531,3.235
-0.225,-0.218,0.688,49.316,511.169,0.671
-0.023,-0.069,0.487,59.814,483.643,7.080
0.091,0.009,0.240,74.829,444.092,5.920
0.059,0.038,0.094,86.365,417.480,-10.559
0.010,0.109,0.003,86.060,403.809,-24.719
-0.047,-0.004,0.099,87.036,411.682,-33.813
-0.282,-0.184,0.038,72.144,432.556,-39.734
-0.495,-0.247,-0.325,16.235,449.219,-37.109
-0.506,-0.220,-1.004,-66.956,455.688,-35.217
-0.087,-0.216,-1.824,-156.189,437.927,-51.208
0.348,-0.377,-2.619,-238.159,382.141,-73.914
0.492,-0.576,-3.054,-301.147,282.532,-79.895
0.471,-0.734,-2.917,-308.899,130.188,-60.181
0.187,-0.801,-2.528,-236.267,-73.425,-2.563
0.127,-0.668,-2.000,-116.028,-274.536,79.773
-0.030,-0.532,-1.561,-8.423,-432.800,134.216
-0.198,-0.367,-1.162,20.874,-542.480,152.771
-0.373,-0.210,-0.756,-13.794,-604.614,145.203
-0.547,-0.067,-0.090,-46.570,-637.878,130.859
-0.601,-0.213,0.655,-25.879,-662.659,121.277
-0.573,-0.337,1.146,24.780,-678.772,123.413
-0.583,-0.158,1.496,42.603,-649.475,133.179
-0.349,0.317,1.937,22.705,-583.862,136.780
-0.179,0.455,2.346,27.893,-517.578,105.347
-0.224,0.280,2.684,60.486,-450.317,51.270
-0.230,0.034,2.823,85.632,-363.342,15.503
-0.197,-0.094,2.707,74.890,-261.108,9.277
-0.103,-0.028,2.394,31.494,-165.161,12.939
-0.089,0.042,2.049,-14.038,-91.919,14.587
-0.140,0.065,1.667,-39.185,-48.767,10.986
-0.203,0.016,1.370,-52.063,-36.316,9.216
-0.148,0.006,1.093,-67.932,-48.584,12.146
-0.020,0.041,0.885,-85.083,-73.364,16.602
0.069,0.098,0.793,-92.590,-96.619,17.822
0.091,0.121,0.797,-82.581,-121.277,15.869
0.142,0.148,0.920,-56.824,-147.339,8.972
0.160,0.020,1.115,-19.348,-161.926,-0.488
0.098,-0.010,1.258,10.864,-159.546,-6.226
0.027,-0.028,1.370,23.254,-132.690,-9.460
0.047,-0.118,1.490,19.348,-89.966,-15.381
0.018,-0.186,1.526,8.057,-52.307,-17.517
-0.120,-0.197,1.464,-2.563,-18.005,-13.000
-0.250,-0.205,1.365,-9.460,13.794,-9.644
-0.242,-0.193,1.241,-15.015,31.860,-8.179
-0.208,-0.164,1.120,-20.630,37.170,-3.296
-0.148,-0.145,1.048,-22.583,33.875,1.404
-0.065,-0.110,0.998,-20.630,27.100,3.540
0.001,-0.113,0.972,-19.836,20.874,3.235
0.048,-0.059,0.931,-22.278,14.465,1.343
0.094,-0.018,0.896,-22.522,7.507,-3.357
0.105,-0.008,0.883,-14.099,0.122,-8.118
0.110,-0.034,0.895,-0.549,-5.249,-11.658
0.086,-0.063,0.914,11.597,-6.836,-11.597
0.068,-0.096,0.937,19.531,-3.723,-8.972
0.047,-0.107,0.937,21.240,3.540,-5.127
0.010,-0.091,0.934,17.761,11.353,-0.977
-0.003,-0.064,0.906,16.907,14.587,1.465
-0.004,-0.056,0.894,21.790,12.451,1.343
-0.043,-0.065,0.908,25.452,7.141,1.404
-0.055,-0.060,0.921,24.353,1.892,1.526
-0.045,-0.044,0.927,19.226,-3.174,1.831
-0.043,-0.033,0.943,13.184,-8.057,1.038
-0.034,-0.034,0.955,8.789,-11.047,-1.343
-0.020,-0.032,0.964,5.615,-12.268,-3.601
-0.019,-0.043,0.964,4.639,-12.390,-7.080
