aX,aY,aZ,gX,gY,gZ
-0.356,1.375,1.520,96.558,-13.428,-152.954
-0.541,1.308,1.547,62.744,17.395,-230.530
-0.547,1.206,1.387,9.888,63.904,-311.218
-0.536,1.209,1.126,-40.039,104.980,-391.479
-0.454,1.053,0.962,-76.904,126.587,-443.787
-0.332,0.794,0.805,-108.276,124.207,-448.730
-0.283,0.466,0.754,-129.028,96.802,-430.969
-0.339,0.217,0.738,-135.986,54.810,-418.518
-0.360,0.097,0.620,-130.981,10.681,-407.654
-0.361,-0.030,0.381,-92.896,-23.254,-394.226
-0.462,-0.374,0.306,1.465,-41.992,-391.602
-0.515,-0.897,0.392,122.070,-56.763,-389.832
-0.518,-1.243,0.513,196.533,-68.481,-358.398
-0.410,-1.859,0.845,195.618,-66.467,-277.588
-0.269,-2.077,0.935,133.484,-61.340,-178.589
-0.213,-1.831,0.860,63.049,-63.843,-94.910
-0.287,-1.579,0.849,21.362,-60.852,-32.410
-0.348,-1.393,0.791,11.963,-49.805,11.292
-0.360,-1.200,0.760,27.893,-43.396,41.443
-0.359,-1.002,0.843,62.744,-37.842,55.420
-0.308,-0.870,0.926,105.225,-34.180,60.303
-0.222,-0.817,1.017,132.996,-34.607,68.481
-0.191,-0.794,1.111,134.460,-36.926,86.914
-0.268,-0.763,1.162,104.919,-37.415,120.239
-0.325,-0.678,1.135,49.805,-34.912,163.330
-0.316,-0.495,1.132,-12.817,-26.794,205.017
-0.254,-0.345,1.156,-65.430,-14.038,244.751
-0.197,-0.267,1.233,-104.553,2.380,286.804
-0.183,-0.232,1.235,-128.174,24.719,322.998
-0.260,-0.225,1.165,-139.160,52.124,342.163
-0.352,-0.155,1.026,-144.287,78.735,338.074
-0.426,-0.034,0.823,-145.874,93.018,317.444
-0.418,0.118,0.642,-139.465,89.661,294.739
-0.332,0.242,0.537,-121.216,69.763,276.062
-0.209,0.264,0.469,-89.539,35.645,255.554
-0.047,0.340,0.465,-50.964,-6.714,227.905
0.052,0.397,0.519,-15.991,-48.096,202.026
0.054,0.384,0.661,8.240,-78.064,182.190
0.036,0.382,0.860,23.315,-92.346,157.593
0.068,0.352,0.984,34.973,-91.431,129.028
0.080,0.303,1.108,42.175,-76.172,100.830
0.040,0.233,1.175,36.377,-54.688,83.008
-0.046,0.190,1.182,16.052,-33.936,76.294
-0.135,0.139,1.108,-11.047,-18.188,80.688
-0.212,0.013,1.031,-36.072,-7.507,92.896
-0.155,0.093,0.971,-49.622,-1.099,91.248
-0.097,0.111,0.929,-43.030,0.305,82.031
-0.061,0.110,0.912,-25.391,-2.197,69.092
0.001,0.114,0.905,-6.775,-5.798,52.551
0.003,0.098,0.932,6.592,-9.033,39.734
0.002,0.119,0.972,10.254,-12.756,30.823
0.037,0.149,0.997,8.789,-15.747,24.475
0.060,0.154,1.010,6.226,-14.954,17.578
0.056,0.150,1.016,1.587,-11.841,8.850
0.041,0.120,1.011,-2.563,-7.507,-0.366
0.022,0.065,0.997,-4.456,-2.747,-7.996
-0.019,0.014,0.971,-4.395,0.854,-11.108
-0.050,-0.041,0.945,-3.723,2.014,-6.897
-0.066,-0.055,0.921,-1.587,0.183,0.366
-0.065,-0.039,0.924,2.014,-3.540,8.911
-0.011,-0.040,0.995,5.859,-7.019,17.273
-0.000,-0.025,0.991,8.118,-15.015,21.423
-0.024,0.001,1.003,7.568,-17.334,19.531
0.016,0.034,1.051,3.052,-9.338,16.296
0.050,0.058,1.081,-5.310,-4.089,12.146
0.031,0.072,1.080,-15.503,-1.282,6.104
0.017,0.047,1.061,-25.452,4.395,1.465
0.016,0.018,1.010,-32.166,10.620,-2.197
-0.007,-0.025,0.948,-33.997,14.648,-5.554
-0.003,-0.062,0.899,-30.212,16.541,-4.395
0.038,-0.061,0.878,-19.958,13.855,-1.526
0.034,-0.055,0.874,-3.357,5.737,0.610
-0.002,-0.046,0.902,14.160,-1.953,2.869
-0.015,-0.034,0.940,25.330,-5.188,5.249
0.002,-0.000,0.971,27.405,-6.287,8.606
0.005,0.035,0.991,24.353,-8.240,10.742
-0.007,0.051,0.990,18.372,-9.766,9.888
-0.007,0.057,0.989,11.536,-9.033,6.470
0.003,0.032,0.994,4.456,-6.104,2.380
-0.010,0.003,0.975,-2.930,-3.540,-0.671
-0.022,-0.012,0.958,-8.606,-0.916,-1.221
-0.016,-0.038,0.940,-9.583,0.671,-1.099
-0.009,-0.064,0.924,-4.883,1.587,-0.549
-0.016,-0.063,0.917,4.028,2.502,1.160
-0.024,-0.044,0.911,13.245,3.113,2.869
-0.018,-0.026,0.916,19.043,1.648,4.578
-0.018,-0.001,0.919,20.569,-1.709,5.981
-0.023,0.024,0.934,18.921,-4.822,5.798
-0.009,0.038,0.947,15.564,-5.737,3.784
-0.000,0.039,0.947,10.193,-5.859,0.916
0.002,0.025,0.959,4.395,-4.578,-1.831
-0.005,-0.009,0.954,-1.282,-3.906,-3.479
-0.009,-0.043,0.941,-7.141,-3.845,-2.563
-0.004,-0.064,0.922,-9.399,-3.296,-0.366
-0.011,-0.064,0.915,-6.348,-2.686,1.160
-0.022,-0.057,0.916,0.610,-2.747,1.892
-0.022,-0.042,0.921,8.484,-3.540,2.808
-0.025,-0.032,0.945,13.916,-5.005,2.991
-0.026,-0.015,0.965,14.038,-6.409,2.808
-0.016,-0.000,0.983,11.475,-7.629,2.258
-0.015,0.004,0.990,7.751,-7.874,0.793
-0.018,0.005,0.986,2.380,-7.324,-0.977
-0.010,0.001,0.984,-3.052,-6.653,-1.892
-0.001,-0.007,0.975,-5.859,-7.141,-2.930
-0.004,-0.024,0.977,-5.737,-7.019,-4.150
-0.006,-0.049,0.981,-5.859,-6.409,-5.066
-0.011,-0.069,0.975,-6.653,-5.371,-3.845
-0.013,-0.084,0.970,-6.653,-3.784,-1.343
-0.018,-0.081,0.960,-4.700,-2.380,1.343
-0.027,-0.069,0.947,-0.122,-2.014,4.333
-0.027,-0.045,0.948,5.432,-2.991,6.470
-0.020,-0.026,0.961,9.827,-4.822,6.348
-0.012,-0.018,0.982,10.742,-6.836,4.944
-0.016,-0.016,0.985,7.751,-7.202,3.723
-0.011,-0.014,0.998,2.747,-6.042,2.808
-0.014,-0.026,0.977,-2.747,-5.249,2.075
-0.010,-0.025,0.959,-6.958,-4.700,1.343
-0.014,-0.039,0.946,-7.019,-4.272,0.366
-0.004,-0.058,0.958,-5.188,-4.639,0.122

0.228,-0.979,1.262,16.296,93.567,-228.577
-0.234,-1.083,1.347,-16.907,75.134,-224.670
-0.231,-0.995,1.207,-16.296,86.365,-172.241
-0.304,-0.828,1.053,-14.465,57.190,-120.117
-0.398,-0.883,0.869,-28.687,14.709,-69.885
-0.423,-0.837,0.819,-50.842,-0.244,-31.067
-0.403,-0.883,0.846,-70.190,-0.366,9.766
-0.421,-0.925,0.884,-92.041,7.690,57.068
-0.351,-0.831,0.878,-114.441,21.729,96.313
-0.239,-0.640,0.831,-115.784,34.607,123.047
-0.229,-0.527,0.827,-87.646,38.147,141.541
-0.254,-0.504,0.834,-47.058,34.119,151.978
-0.283,-0.533,0.847,-16.907,28.687,154.968
-0.225,-0.474,0.825,-7.751,26.306,148.071
-0.090,-0.330,0.781,-7.690,26.428,131.409
-0.001,-0.232,0.784,-4.761,28.564,111.877
0.022,-0.213,0.817,-2.563,30.823,97.046
0.012,-0.235,0.873,-5.676,31.738,88.928
-0.013,-0.296,0.922,-16.113,30.579,90.576
-0.044,-0.387,0.932,-35.950,27.405,106.140
-0.025,-0.475,0.907,-64.026,23.804,138.489
0.000,-0.505,0.891,-94.055,21.179,184.204
0.004,-0.436,0.848,-125.549,21.912,231.628
0.012,-0.256,0.770,-151.306,30.212,264.343
-0.021,-0.097,0.762,-162.231,41.992,275.208
-0.052,0.046,0.765,-158.630,47.791,268.372
-0.070,0.106,0.736,-132.874,45.410,250.916
-0.072,0.111,0.759,-86.365,39.307,227.478
-0.049,0.111,0.784,-32.104,29.663,208.557
-0.049,0.012,0.947,19.165,14.099,201.660
-0.055,-0.064,1.127,51.086,-6.775,210.754
-0.003,-0.094,1.218,46.326,-24.902,237.061
0.005,-0.068,1.191,10.376,-41.199,260.498
-0.121,-0.033,1.096,-35.034,-58.228,265.320
-0.181,0.067,1.000,-73.059,-66.467,252.869
-0.165,0.117,0.997,-100.342,-57.861,235.474
-0.111,0.194,0.987,-130.127,-41.260,216.248
-0.022,0.286,0.853,-162.292,-25.085,199.036
0.016,0.552,0.620,-170.715,-9.399,180.481
-0.028,0.550,0.577,-130.859,1.648,154.175
-0.046,0.468,0.674,-66.956,-2.502,117.737
0.024,0.403,0.752,-12.329,-20.996,78.308
0.080,0.350,0.885,24.841,-33.997,45.471
0.052,0.215,0.997,41.687,-34.607,33.264
0.038,0.160,0.989,34.119,-31.921,33.813
0.043,0.163,0.948,16.174,-24.597,36.072
0.028,0.199,0.888,5.066,-13.794,35.767
0.010,0.219,0.846,5.676,-5.920,27.771
0.011,0.214,0.845,14.709,-5.188,16.357
0.000,0.198,0.883,25.635,-10.742,5.371
-0.018,0.160,0.929,30.823,-17.151,-2.075
-0.042,0.136,0.966,25.146,-19.409,-5.737
-0.027,0.128,0.999,13.855,-19.104,-8.118
0.016,0.110,1.016,7.996,-17.517,-11.292
0.033,0.087,1.027,9.644,-14.404,-15.198
0.022,0.049,1.063,13.184,-10.498,-18.494
0.003,0.011,1.080,14.404,-7.263,-17.883
-0.046,-0.015,1.049,14.709,-5.920,-10.620
-0.045,-0.017,1.051,14.832,0.793,0.366
-0.024,0.009,1.004,15.320,4.395,10.437
-0.021,0.048,1.009,15.747,5.859,13.916
-0.028,0.074,0.990,17.029,5.371,13.184
-0.025,0.103,0.987,18.188,4.333,10.742
-0.018,0.116,0.986,17.334,5.249,7.812
-0.003,0.136,0.978,13.550,5.920,3.967
-0.013,0.152,0.967,8.789,6.104,-0.549
-0.033,0.148,0.961,4.028,5.737,-4.761
-0.027,0.131,0.956,-1.892,2.502,-8.667
-0.009,0.104,0.948,-6.348,-1.160,-10.498
-0.002,0.086,0.955,-5.737,-2.625,-11.475
0.005,0.072,0.964,-1.953,-2.136,-12.817
-0.010,0.063,0.965,0.610,-2.075,-12.207
-0.023,0.050,0.962,0.793,-1.465,-7.874
-0.008,0.050,0.941,-0.549,-1.587,-3.235
0.000,0.054,0.924,0.061,-1.953,-1.587
-0.003,0.071,0.912,2.380,-2.441,-2.563
-0.006,0.077,0.913,5.005,-3.479,-5.188
-0.004,0.077,0.920,6.836,-5.249,-8.301
0.000,0.073,0.932,5.615,-7.263,-10.315
0.000,0.056,0.946,2.014,-9.888,-11.597
-0.001,0.040,0.952,-3.723,-12.329,-11.536
0.012,0.032,0.956,-8.911,-13.184,-11.169
0.019,0.012,0.959,-9.766,-12.512,-11.230
0.017,-0.029,0.970,-5.737,-11.169,-11.475
0.025,-0.022,0.979,0.793,-8.301,-11.475
-0.008,-0.037,0.977,8.179,-4.639,-8.606
-0.010,-0.018,0.996,12.939,-0.427,-3.479
-0.019,0.008,0.980,14.282,1.892,1.587
-0.031,0.011,0.996,12.268,2.747,7.629
-0.026,0.058,0.973,9.338,1.892,9.399
-0.026,0.079,0.974,7.385,1.221,9.766
-0.003,0.091,0.981,6.348,1.953,8.118
-0.008,0.101,0.972,4.272,0.793,3.967
-0.018,0.093,0.975,0.916,0.916,1.343
-0.008,0.078,0.962,-2.625,1.343,-0.732
-0.011,0.053,0.940,-5.371,0.916,-1.160
-0.022,0.041,0.918,-5.859,0.916,0.427
-0.015,0.054,0.908,-2.991,0.244,0.671
-0.005,0.056,0.923,3.662,-1.038,0.244
-0.002,0.054,0.949,12.024,-2.991,-1.160
-0.006,0.049,0.964,17.151,-4.028,-2.869
-0.009,0.053,0.971,17.090,-3.052,-4.089
-0.019,0.051,0.959,14.648,-2.136,-3.967
-0.025,0.030,0.947,10.864,-2.319,-3.845
-0.025,0.015,0.937,6.348,-4.211,-2.930
-0.017,0.014,0.933,3.418,-7.446,-0.244
0.002,0.014,0.946,3.784,-11.292,1.953
0.012,0.005,0.963,6.287,-13.916,1.770
0.001,-0.003,0.971,7.324,-13.184,2.075
-0.000,-0.000,0.967,5.066,-9.583,2.441
0.000,0.007,0.955,3.296,-5.981,3.113
-0.016,0.014,0.956,3.784,-4.272,3.784
-0.031,0.016,0.953,5.981,-4.761,3.662
-0.029,0.021,0.946,7.202,-5.493,4.333
-0.030,0.031,0.956,8.484,-6.836,5.066
-0.034,0.032,0.959,10.620,-7.507,4.456
-0.034,0.032,0.972,10.254,-7.080,4.211
-0.037,0.027,0.986,8.545,-5.615,5.249
-0.045,0.030,0.978,5.066,-5.005,6.409

-0.192,-1.127,1.260,-47.668,-17.090,-167.908
-0.298,-1.095,1.148,-63.354,10.498,-112.366
-0.339,-0.984,1.000,-73.486,38.696,-65.247
-0.378,-0.877,0.946,-84.229,63.477,-23.071
-0.471,-0.825,0.947,-97.351,73.181,20.630
-0.454,-0.744,0.903,-113.281,63.721,63.354
-0.337,-0.575,0.806,-123.718,42.664,96.069
-0.278,-0.418,0.742,-115.601,20.020,117.126
-0.293,-0.358,0.698,-90.088,2.686,133.667
-0.217,-0.356,0.638,-58.289,-4.395,147.156
-0.102,-0.398,0.642,-30.151,-2.014,154.846
-0.044,-0.441,0.659,-11.047,2.991,154.724
-0.063,-0.441,0.658,-3.723,4.578,144.714
-0.115,-0.384,0.701,-0.610,1.465,129.211
-0.060,-0.237,0.755,8.789,-5.676,110.962
-0.004,-0.138,0.864,39.734,-16.296,92.590
-0.020,-0.241,1.036,88.318,-31.494,79.346
-0.118,-0.494,1.181,123.962,-46.692,81.909
-0.179,-0.750,1.276,124.023,-53.833,108.521
-0.135,-0.718,1.307,90.942,-49.316,161.499
-0.125,-0.538,1.254,34.912,-34.363,235.046
-0.220,-0.465,1.156,-32.043,-7.751,309.753
-0.245,-0.406,1.066,-101.868,27.344,362.671
-0.217,-0.306,1.047,-162.537,63.171,400.024
-0.225,-0.280,0.970,-197.876,87.524,426.880
-0.281,-0.176,0.796,-204.224,99.487,419.983
-0.284,0.034,0.635,-186.951,101.196,372.498
-0.245,0.271,0.506,-151.001,89.905,308.044
-0.187,0.428,0.436,-96.619,66.772,244.568
-0.151,0.485,0.549,-29.480,37.231,192.871
-0.098,0.412,0.769,31.433,-2.502,158.997
-0.030,0.304,0.962,68.420,-52.795,139.587
0.002,0.246,1.057,68.176,-97.839,126.648
-0.015,0.216,1.126,38.452,-116.089,124.023
-0.021,0.275,1.190,-0.488,-107.544,127.014
-0.001,0.406,1.156,-33.447,-79.407,126.099
0.015,0.460,1.146,-48.523,-38.086,112.305
-0.015,0.391,1.147,-49.500,-1.099,87.585
-0.064,0.339,1.075,-51.086,22.644,58.228
-0.085,0.311,0.976,-55.420,37.842,29.114
-0.135,0.257,0.892,-56.213,45.105,10.559
-0.153,0.226,0.800,-53.894,39.734,-0.854
-0.113,0.192,0.761,-45.349,27.771,-6.531
-0.026,0.129,0.779,-32.471,13.489,-7.629
0.069,0.091,0.816,-20.264,-3.662,-7.019
0.100,0.058,0.849,-9.644,-18.127,-4.639
0.094,0.044,0.880,-1.831,-24.536,-3.906
0.109,0.054,0.908,2.563,-22.583,-3.357
0.120,0.054,0.936,7.385,-19.165,-2.991
0.113,0.035,0.958,12.207,-17.517,-3.540
0.090,0.017,0.974,14.771,-16.724,-4.028
0.062,0.037,0.992,13.916,-14.832,-3.540
0.046,0.054,1.022,11.414,-10.132,-2.197
0.040,0.034,1.033,9.216,-5.798,-2.136
0.016,0.028,1.000,7.385,-1.404,-3.784
0.027,0.009,1.038,5.981,3.357,-2.930
-0.001,0.019,0.964,4.089,-1.282,-0.977
-0.014,0.034,0.974,4.883,-5.981,-0.244
-0.004,0.033,0.964,8.667,-5.859,1.526
0.017,0.036,0.982,11.414,-5.432,2.930
0.043,0.054,1.005,13.000,-4.639,0.854
0.045,0.053,1.012,13.916,-4.883,0.488
0.028,0.055,1.016,12.268,-3.967,0.244
0.023,0.065,1.001,8.850,0.061,-2.136
0.019,0.070,0.987,5.737,5.554,-5.554
0.008,0.077,0.983,2.991,7.874,-8.179
-0.003,0.074,0.963,1.282,4.333,-8.057
-0.000,0.045,0.940,0.549,-2.136,-4.944
0.003,0.011,0.922,0.244,-6.958,-1.648
0.021,-0.006,0.908,-1.099,-9.827,0.916
0.023,0.002,0.908,-1.953,-11.475,1.892
0.026,0.007,0.932,1.038,-11.353,1.282
0.039,0.023,0.964,6.348,-9.155,-0.977
0.033,0.023,0.972,11.169,-7.690,-2.991
0.028,0.020,0.991,14.526,-6.592,-5.310
0.041,0.015,1.018,16.174,-3.723,-8.484
0.022,0.025,1.019,14.099,0.122,-9.033
-0.013,0.018,0.973,9.155,0.610,-6.226
0.002,0.021,0.975,4.395,0.488,-2.930
-0.008,0.003,0.953,2.869,-1.892,-0.122
-0.028,0.001,0.922,2.991,-4.028,3.235
-0.008,0.018,0.923,2.625,-3.296,3.296
0.003,0.030,0.936,3.235,-3.906,1.465
0.002,0.022,0.956,4.395,-5.371,0.732
0.031,0.015,0.976,3.357,-5.798,2.075
0.045,0.022,0.989,-0.305,-6.226,3.052
0.037,0.021,0.988,-2.625,-5.493,2.563
0.034,0.026,0.999,-2.258,-2.014,1.831
0.029,0.030,0.991,1.038,1.404,2.747
0.024,0.019,0.986,6.714,2.686,2.136
0.020,-0.008,0.990,12.329,3.479,0.061
0.003,-0.014,0.967,14.282,3.845,-0.610
-0.011,0.002,0.944,13.489,4.700,-0.793
-0.021,0.022,0.934,13.245,5.432,-1.465
-0.017,0.021,0.931,13.062,3.479,-2.258
-0.002,0.024,0.920,10.925,-0.671,-2.014
0.000,0.037,0.927,4.700,-4.028,-1.648
0.008,0.043,0.940,-2.747,-5.798,-2.136
0.019,0.032,0.965,-6.897,-7.385,-3.540
0.026,0.003,0.994,-8.362,-6.897,-5.005
0.029,-0.008,0.999,-9.827,-5.005,-4.456
0.027,-0.018,0.992,-10.559,-2.380,-1.648
0.022,-0.032,0.972,-8.484,0.305,3.357
0.005,-0.032,0.954,-4.211,2.502,6.653
-0.015,-0.007,0.922,1.282,3.845,7.080
-0.003,0.014,0.905,7.507,2.686,6.165
0.004,0.017,0.921,13.245,-1.526,5.371
0.010,0.017,0.933,14.526,-6.897,4.883
0.022,0.026,0.944,11.047,-10.254,4.578
0.021,0.038,0.953,5.188,-10.681,4.395
0.026,0.045,0.957,-1.526,-9.277,3.967
0.028,0.034,0.966,-8.179,-7.324,2.686
0.022,0.012,0.965,-13.184,-5.737,1.770
0.019,-0.000,0.955,-15.686,-4.028,1.953
0.013,-0.007,0.946,-14.099,-1.465,2.258
0.004,-0.023,0.941,-10.193,0.305,2.258
0.004,-0.017,0.933,-4.761,0.488,3.845
0.010,-0.001,0.933,0.732,-0.122,6.287
0.001,0.021,0.948,5.554,-2.075,7.141

-0.440,-1.565,1.058,-133.545,17.517,-190.186
-0.413,-1.529,0.998,-137.085,25.269,-109.009
-0.329,-1.375,0.952,-107.361,19.836,-50.110
-0.335,-1.202,0.869,-67.322,1.770,-14.282
-0.376,-1.020,0.802,-36.438,-15.991,9.155
-0.349,-0.779,0.801,-16.724,-32.410,35.522
-0.301,-0.608,0.897,-1.404,-50.842,71.655
-0.260,-0.506,0.964,6.775,-68.970,108.276
-0.203,-0.555,0.990,2.747,-79.651,138.367
-0.153,-0.506,0.928,-13.245,-79.895,158.447
-0.173,-0.447,0.922,-25.269,-67.566,164.490
-0.205,-0.382,0.861,-27.283,-50.110,163.025
-0.184,-0.293,0.812,-22.400,-32.410,156.250
-0.128,-0.202,0.818,-17.395,-15.747,146.729
-0.089,-0.147,0.838,-16.052,-6.226,136.536
-0.068,-0.072,0.868,-15.747,-0.793,126.160
-0.126,0.003,0.938,-15.991,3.357,119.385
-0.178,-0.025,1.005,-23.682,3.235,127.380
-0.107,-0.032,1.032,-44.983,3.296,150.879
-0.042,-0.075,1.078,-78.003,7.751,178.772
0.012,-0.091,1.106,-122.314,17.883,202.942
0.084,0.001,1.053,-165.527,36.987,222.290
0.104,0.092,1.005,-183.960,60.730,233.521
0.045,0.112,1.028,-173.950,76.416,236.816
-0.003,0.013,1.090,-151.489,80.750,246.338
-0.027,-0.185,1.144,-133.545,82.642,272.278
-0.116,-0.452,1.207,-136.169,86.853,293.945
-0.130,-0.412,1.075,-161.133,87.524,290.710
0.033,-0.066,0.847,-182.434,80.933,259.033
0.111,0.251,0.706,-163.574,59.082,211.670
0.031,0.431,0.612,-103.210,17.456,161.072
-0.052,0.441,0.582,-26.306,-22.461,119.812
-0.069,0.367,0.678,38.330,-44.983,90.576
-0.056,0.335,0.789,65.491,-51.575,79.956
-0.043,0.299,0.932,49.500,-48.584,90.149
0.053,0.251,1.040,11.841,-39.368,113.892
0.151,0.213,1.095,-29.358,-29.236,134.583
0.166,0.216,1.062,-61.890,-24.719,137.268
0.096,0.229,0.968,-69.336,-24.841,120.667
0.030,0.238,0.881,-51.758,-21.912,93.384
-0.032,0.214,0.849,-24.475,-12.329,68.420
