left
aX;aY;aZ;gX;gY;gZ
-477;-1.127;1.054;-62.012;-854;196.960
341;-1.303;1.196;-111.511;24.048;313.904
624;-1.452;1.282;-177.429;69.885;354.553
443;-1.261;1.074;-258.057;121.033;345.154
93;-923;1.004;-301.147;175.354;337.097
-28;-641;879;-267.517;222.717;358.826
164;-329;774;-199.951;257.324;372.131
141;94;707;-108.398;259.888;341.614
-86;344;725;17.334;207.031;282.104
-36;432;736;149.048;115.356;220.581
-35;574;832;226.013;24.353;179.504
-154;693;955;233.032;-31.067;168.945
-161;897;992;189.453;-41.870;164.795
-153;1.125;1.017;128.296;-19.531;150.024
-137;1.247;1.013;71.533;61;133.362
-105;1.199;919;9.521;3.784;112.427
-97;1.093;856;-36.011;7.324;78.918
-56;898;791;-61.829;-244;53.040
23;701;689;-71.899;-18.616;29.236
75;541;676;-61.218;-30.090;13.123
144;459;679;-41.138;-31.616;-6.409
191;382;735;-12.634;-28.259;-23.743
250;307;794;18.555;-23.315;-37.537
319;251;842;44.006;-20.569;-52.979
325;219;869;61.829;-21.118;-70.374
329;210;924;74.707;-21.118;-89.539
368;187;1.029;86.548;-20.813;-110.657
389;239;1.119;98.328;-24.597;-136.780
363;132;1.187;110.718;-29.541;-161.438
210;182;1.191;111.267;-23.071;-187.805
221;189;1.278;105.469;14.709;-218.201
206;110;1.231;100.098;61.523;-245.728
135;76;1.032;90.454;101.990;-274.170
14;114;878;77.942;140.686;-300.781
-101;120;709;60.486;159.119;-310.486
-167;-27;592;42.419;151.672;-298.462
-120;-164;622;23.926;125.000;-267.639
27;-145;633;-4.150;84.290;-222.229
166;-96;597;-36.743;44.189;-179.871
172;-111;555;-53.284;9.399;-163.025
132;-239;601;-41.626;-18.677;-171.753
186;-463;717;-2.258;-38.879;-182.983
282;-722;867;44.495;-53.467;-175.903
315;-893;981;73.364;-60.791;-153.320
340;-922;1.077;77.820;-56.274;-120.972
348;-862;1.141;64.636;-44.556;-80.994
300;-747;1.067;38.513;-34.851;-39.673
166;-614;1.028;3.723;-23.682;-10.376
89;-594;1.002;-30.579;-4.578;10.559
102;-522;885;-58.411;12.573;25.818
195;-413;861;-75.928;33.569;34.058
166;-314;701;-84.106;48.035;39.246
209;-252;757;-80.200;53.955;39.063
269;-192;748;-65.186;44.189;24.414
285;-196;762;-39.001;21.606;7.141
263;-242;777;-5.859;-5.554;1.526
276;-308;837;21.912;-26.794;7.141
281;-334;862;34.241;-41.870;14.038
284;-314;882;32.166;-49.011;21.179
256;-314;863;24.109;-52.795;30.273
223;-320;871;15.320;-49.683;35.095
220;-264;887;8.301;-42.908;35.278
206;-172;879;549;-40.527;36.072
178;-133;906;-11.719;-39.734;35.950
197;-145;976;-21.851;-35.706;31.494
203;-183;993;-26.550;-35.217;23.132
207;-199;1.005;-29.541;-34.912;19.287
227;-208;1.017;-31.555;-30.334;22.156
208;-210;975;-32.288;-26.978;26.367
191;-210;947;-31.921;-22.095;27.405
174;-202;930;-29.907;-16.296;28.870
159;-194;915;-24.597;-11.536;31.006
167;-174;920;-17.456;-7.812;32.898
190;-154;913;-10.437;-8.972;33.508
216;-150;937;-3.906;-15.381;30.212
220;-150;990;4.333;-23.499;23.132
205;-161;1.024;10.803;-30.212;18.005
198;-166;1.025;7.996;-33.142;15.808
206;-161;1.003;244;-29.724;14.099
196;-157;984;-5.554;-21.301;11.353
170;-155;968;-6.897;-12.207;8.057
150;-156;961;-6.653;-4.333;6.165
162;-149;951;-7.568;427;5.798
182;-150;941;-9.155;427;6.042
193;-145;932;-6.226;-3.296;6.348
196;-134;940;-366;-8.179;6.104
194;-138;950;2.319;-12.268;5.676
188;-139;961;2.441;-13.977;5.737
187;-140;967;2.197;-12.756;5.920
185;-145;965;1.892;-9.644;5.005
173;-148;968;793;-6.592;4.456
168;-143;956;-427;-4.272;3.723
164;-140;936;-1.770;-2.869;1.831
154;-126;927;-4.089;-2.014;-671
148;-120;913;-4.700;-1.648;-1.770
156;-131;900;-3.296;-1.404;-3.845
161;-140;900;-2.380;-1.526;-7.324
163;-142;906;-1.160;-2.991;-9.583
169;-140;907;1.587;-5.371;-9.338
176;-148;911;5.066;-7.935;-8.667
176;-158;932;8.545;-10.132;-9.033
171;-146;950;10.803;-11.414;-8.667
172;-138;964;10.620;-10.742;-7.080
176;-157;985;9.033;-8.545;-6.287
172;-164;990;6.348;-6.042;-6.531
160;-165;995;3.540;-1.526;-6.165
153;-165;992;-1.526;3.418;-5.371
136;-162;968;-6.165;7.690;-4.395
135;-164;935;-9.277;10.620;-4.333
151;-176;917;-10.681;10.803;-5.005
168;-176;908;-10.254;7.507;-6.042
175;-182;916;-7.629;2.441;-5.737
181;-194;924;-4.578;-2.686;-4.883
172;-193;930;-1.465;-6.470;-2.808
168;-183;937;549;-8.301;-244
172;-181;944;1.587;-8.362;1.465
166;-173;950;2.930;-6.897;183
152;-159;938;4.700;-4.578;-1.343
172;-144;963;5.981;-2.319;-2.441
;;;;;
329;-1.521;1.759;-159.485;-23.804;153.687
155;-1.710;1.502;-276.978;10.315;264.526
64;-1.759;1.074;-402.405;88.257;360.107
53;-1.423;608;-460.022;192.261;393.372
-29;-947;446;-386.047;282.043;367.371
-174;-740;393;-177.979;293.091;322.876
-239;-501;383;80.750;220.947;280.396
-123;-292;571;278.015;99.792;253.723
-184;108;835;362.244;-30.212;253.967
-339;454;997;351.074;-132.935;259.583
-455;785;1.175;270.142;-165.405;264.221
-265;1.011;1.443;152.161;-128.235;240.051
-150;1.060;1.350;48.523;-76.294;193.420
-142;958;1.296;-15.747;-28.625;143.738
-158;865;1.173;-46.143;16.479;107.849
-160;699;961;-52.490;36.194;86.731
-191;672;772;-47.119;34.790;64.026
-188;619;694;-25.024;25.330;37.842
-140;554;716;1.099;17.334;16.296
-47;468;791;16.174;9.888;61
32;389;867;16.968;3.479;-12.085
85;304;895;8.850;-3.174;-24.231
108;197;892;427;-4.395;-37.598
134;85;883;-4.944;2.808;-50.171
